Rating,Review,Class,Tokens
5,Always nice to see old forms of communication upgraded by technology I would recommend this product to anyone Thumbs up,1,"['Always', 'nice', 'see', 'old', 'forms', 'communication', 'upgraded', 'technology', 'I', 'would', 'recommend', 'product', 'anyone', 'Thumbs']"
5,Perfect Will buy again,1,"['Perfect', 'Will', 'buy']"
5,My sister loved it,1,"['My', 'sister', 'loved']"
5,It was just what I wanted but I must says that the S H charges were higher than expected But I am satisfied,1,"['It', 'I', 'wanted', 'I', 'must', 'says', 'S', 'H', 'charges', 'higher', 'expected', 'But', 'I', 'satisfied']"
5,PROSdoes everything you need as far as basic PDA needsSD slot for expanded memory photos and MPConsproblem with locking uponly onceHotSync will sometimes drop halfway through rarely about a in chance Will work on second attempt if this happensdoing research on PDAs i found it difficult to find one that didnt have its share of flaws flimsy casings fragile screens faulty software worthless battery life ive gone through PDAs and so far this one has seemed the best for its price i bought it with basic needs in mind addressappointment book sync with Outlook and photoalbum feature no frills just necessities the only problem i have expirenced is it locked up once within months of owning it it was completely frozen even turn off with the power switch i had to let it run its power down and start over HotSyncing seems picky from time to time usually less often than not the second attempt will prove successful other than those inconveniences its proved its worth overall,1,"['PROSdoes', 'everything', 'need', 'far', 'basic', 'PDA', 'needsSD', 'slot', 'expanded', 'memory', 'photos', 'MPConsproblem', 'locking', 'uponly', 'onceHotSync', 'sometimes', 'drop', 'halfway', 'rarely', 'chance', 'Will', 'work', 'second', 'attempt', 'happensdoing', 'research', 'PDAs', 'found', 'difficult', 'find', 'one', 'didnt', 'share', 'flaws', 'flimsy', 'casings', 'fragile', 'screens', 'faulty', 'software', 'worthless', 'battery', 'life', 'ive', 'gone', 'PDAs', 'far', 'one', 'seemed', 'best', 'price', 'bought', 'basic', 'needs', 'mind', 'addressappointment', 'book', 'sync', 'Outlook', 'photoalbum', 'feature', 'frills', 'necessities', 'problem', 'expirenced', 'locked', 'within', 'months', 'owning', 'completely', 'frozen', 'even', 'turn', 'power', 'switch', 'let', 'run', 'power', 'start', 'HotSyncing', 'seems', 'picky', 'time', 'time', 'usually', 'less', 'often', 'second', 'attempt', 'prove', 'successful', 'inconveniences', 'proved', 'worth', 'overall']"
5,Excellent product absolutely recommended You will save more than by buying this and this may work like original brother toner,1,"['Excellent', 'product', 'absolutely', 'recommended', 'You', 'save', 'buying', 'may', 'work', 'like', 'original', 'brother', 'toner']"
5,Ive purchased this pad several times It is super helpful to have a list on the fridge and check off what you need as you use it up,1,"['Ive', 'purchased', 'pad', 'several', 'times', 'It', 'super', 'helpful', 'list', 'fridge', 'check', 'need', 'use']"
5,The shredded does the job and is very portable I am able to move it to a closet when not in use with ease,1,"['The', 'shredded', 'job', 'portable', 'I', 'able', 'move', 'closet', 'use', 'ease']"
5,Its the least expensive toner cartridge Ive ever purchased It works great I have had no problems so far Ill certainly buy it again next time,1,"['Its', 'least', 'expensive', 'toner', 'cartridge', 'Ive', 'ever', 'purchased', 'It', 'works', 'great', 'I', 'problems', 'far', 'Ill', 'certainly', 'buy', 'next', 'time']"
3,out of hand set i bought has already gone bad Previous Panasonic phones lasted much longer without any trouble May be consider some other brand next time around,0,"['hand', 'set', 'bought', 'already', 'gone', 'bad', 'Previous', 'Panasonic', 'phones', 'lasted', 'much', 'longer', 'without', 'trouble', 'May', 'consider', 'brand', 'next', 'time', 'around']"
5,so perfect in every way,1,"['perfect', 'every', 'way']"
5,They are real Canon cartridges and work as advertised,1,"['They', 'real', 'Canon', 'cartridges', 'work', 'advertised']"
1,Do not waste your money on remanufacturedrecycled old used ink holders that the printer cannot recognize nor print using these,0,"['Do', 'waste', 'money', 'remanufacturedrecycled', 'old', 'used', 'ink', 'holders', 'printer', 'recognize', 'print', 'using']"
1,MY POOR RATING HERE IS NOT FOR HP INK CARTRIDGES BUT RATHER FOR MY PURCHASE OF THE HPXL CARTRIDGE THROUGH ASHBY STORE AND FULFILLED BY AMAZONI am one of Amazons biggest fans I believe they generally have the best prices and service around As a result I buy just about everything I possibly can through Amazoncom However this was definitely the WORST purchase I have ever had through AmazonThis seller Ashby Store is quite clearly one of the very worst The Hewlett Packard HPXL tricolor ink cartridge I bought from them fulfilled by Amazon was absolute JUNK To begin with the Amazon packaging box was in perfect condition but the HP box was very beat up and looked old On top of that the HP box was clearly intended to be sold only in a Spanishspeaking country as it was primarily in Spanish listed HP as the Exportador and listed three different Argentinian Brazilian and Mexican companies for which it was ImportadoThe area of the HP box that states the Warranty End Date had that end date carefully and suspiciously covered by a professionallooking sticker identifying the cartridge and stating it was new The HP box which looked as though it might have been previously opened and then resealed contained the usual inner white thin cardboard enclosure that holds the cartridge and that white enclosure also looked as though it might have been previously opened Once I took the cartridge completely out of all packaging the sticker that usually covers the inkjet outlets had ink that had leaked onto it Further the warranty end date printed on the cartridge itself was which translates to March and means the cartridge I received on was more than ten months beyond its warranty expiration date while still being sold at a retail priceJust to be sure of my suspicions I went ahead and installed the cartridge in my printer and then attempted to do the usual printer alignment The page that was printed barely had a mark on it and the printer was telling me to try to do another alignment page Instead I tried the printers clean cartridge maintenance function but again got very poor results with only about of the usual coverage That was enough for meI was desperate to replace the old empty HPXL cartridge that was in my printer so I got a Staples coupon for off and paid for it even less than what I paid through Amazon After installing that new HPXL cartridge from Staples my printer worked perfectlyThe only positive THING I can relate about this experience was Amazons excellent customer service I called them and was immediately issued a refund along with having them set up a free pickup of the WORTHLESS junk cartridge by UPSIF I COULD RATE ASHBY STORE AND THIS PURCHASE WITH FIVE NEGATIVE STARS I WOULD DO SO BUT THATS NOT POSSIBLE THE WORST THEY CAN RECEIVE IT ONE STAR SO THATS WHAT THEY GOT,0,"['MY', 'POOR', 'RATING', 'HERE', 'IS', 'NOT', 'FOR', 'HP', 'INK', 'CARTRIDGES', 'BUT', 'RATHER', 'FOR', 'MY', 'PURCHASE', 'OF', 'THE', 'HPXL', 'CARTRIDGE', 'THROUGH', 'ASHBY', 'STORE', 'AND', 'FULFILLED', 'BY', 'AMAZONI', 'one', 'Amazons', 'biggest', 'fans', 'I', 'believe', 'generally', 'best', 'prices', 'service', 'around', 'As', 'result', 'I', 'buy', 'everything', 'I', 'possibly', 'Amazoncom', 'However', 'definitely', 'WORST', 'purchase', 'I', 'ever', 'AmazonThis', 'seller', 'Ashby', 'Store', 'quite', 'clearly', 'one', 'worst', 'The', 'Hewlett', 'Packard', 'HPXL', 'tricolor', 'ink', 'cartridge', 'I', 'bought', 'fulfilled', 'Amazon', 'absolute', 'JUNK', 'To', 'begin', 'Amazon', 'packaging', 'box', 'perfect', 'condition', 'HP', 'box', 'beat', 'looked', 'old', 'On', 'top', 'HP', 'box', 'clearly', 'intended', 'sold', 'Spanishspeaking', 'country', 'primarily', 'Spanish', 'listed', 'HP', 'Exportador', 'listed', 'three', 'different', 'Argentinian', 'Brazilian', 'Mexican', 'companies', 'ImportadoThe', 'area', 'HP', 'box', 'states', 'Warranty', 'End', 'Date', 'end', 'date', 'carefully', 'suspiciously', 'covered', 'professionallooking', 'sticker', 'identifying', 'cartridge', 'stating', 'new', 'The', 'HP', 'box', 'looked', 'though', 'might', 'previously', 'opened', 'resealed', 'contained', 'usual', 'inner', 'white', 'thin', 'cardboard', 'enclosure', 'holds', 'cartridge', 'white', 'enclosure', 'also', 'looked', 'though', 'might', 'previously', 'opened', 'Once', 'I', 'took', 'cartridge', 'completely', 'packaging', 'sticker', 'usually', 'covers', 'inkjet', 'outlets', 'ink', 'leaked', 'onto', 'Further', 'warranty', 'end', 'date', 'printed', 'cartridge', 'translates', 'March', 'means', 'cartridge', 'I', 'received', 'ten', 'months', 'beyond', 'warranty', 'expiration', 'date', 'still', 'sold', 'retail', 'priceJust', 'sure', 'suspicions', 'I', 'went', 'ahead', 'installed', 'cartridge', 'printer', 'attempted', 'usual', 'printer', 'alignment', 'The', 'page', 'printed', 'barely', 'mark', 'printer', 'telling', 'try', 'another', 'alignment', 'page', 'Instead', 'I', 'tried', 'printers', 'clean', 'cartridge', 'maintenance', 'function', 'got', 'poor', 'results', 'usual', 'coverage', 'That', 'enough', 'meI', 'desperate', 'replace', 'old', 'empty', 'HPXL', 'cartridge', 'printer', 'I', 'got', 'Staples', 'coupon', 'paid', 'even', 'less', 'I', 'paid', 'Amazon', 'After', 'installing', 'new', 'HPXL', 'cartridge', 'Staples', 'printer', 'worked', 'perfectlyThe', 'positive', 'THING', 'I', 'relate', 'experience', 'Amazons', 'excellent', 'customer', 'service', 'I', 'called', 'immediately', 'issued', 'refund', 'along', 'set', 'free', 'pickup', 'WORTHLESS', 'junk', 'cartridge', 'UPSIF', 'I', 'COULD', 'RATE', 'ASHBY', 'STORE', 'AND', 'THIS', 'PURCHASE', 'WITH', 'FIVE', 'NEGATIVE', 'STARS', 'I', 'WOULD', 'DO', 'SO', 'BUT', 'THATS', 'NOT', 'POSSIBLE', 'THE', 'WORST', 'THEY', 'CAN', 'RECEIVE', 'IT', 'ONE', 'STAR', 'SO', 'THATS', 'WHAT', 'THEY', 'GOT']"
5,Quick shipping Great pricing,1,"['Quick', 'shipping', 'Great', 'pricing']"
1,DIDNT WORK ONLY PRINTED ON HALF A PAGE,0,"['DIDNT', 'WORK', 'ONLY', 'PRINTED', 'ON', 'HALF', 'A', 'PAGE']"
5,Avery is the king when it comes to business printing These business cards are a great design They can be used for virtually anything or any business My wife used them when she was selling at a craft fair and they went over swimmingly Theyre very easy to print on dont smudge with an inkjet printer and they look great The colors show wonderfully and dont set or fade,1,"['Avery', 'king', 'comes', 'business', 'printing', 'These', 'business', 'cards', 'great', 'design', 'They', 'used', 'virtually', 'anything', 'business', 'My', 'wife', 'used', 'selling', 'craft', 'fair', 'went', 'swimmingly', 'Theyre', 'easy', 'print', 'dont', 'smudge', 'inkjet', 'printer', 'look', 'great', 'The', 'colors', 'show', 'wonderfully', 'dont', 'set', 'fade']"
4,I had one just like it before and wanted the same because of the enlarge and reduce image feature on the copier The only thing that does not work is the the photo part that takes the card from my camera to scan directly I miss it but my daughter can do it on hers,1,"['I', 'one', 'like', 'wanted', 'enlarge', 'reduce', 'image', 'feature', 'copier', 'The', 'thing', 'work', 'photo', 'part', 'takes', 'card', 'camera', 'scan', 'directly', 'I', 'miss', 'daughter']"
1,The pencil mounting sleeve was loose on its leg right out of the package appears to have been crudely riveted on Makes the unit useless for all practical purposes ReturningAdditional notesUnit arrived slathered in loathsome preservative oilPackaging indicates country of origin as India,0,"['The', 'pencil', 'mounting', 'sleeve', 'loose', 'leg', 'right', 'package', 'appears', 'crudely', 'riveted', 'Makes', 'unit', 'useless', 'practical', 'purposes', 'ReturningAdditional', 'notesUnit', 'arrived', 'slathered', 'loathsome', 'preservative', 'oilPackaging', 'indicates', 'country', 'origin', 'India']"
1,Biggest peacses of s ever I tried of them and the burner falls and I wired it different ways Js,0,"['Biggest', 'peacses', 'ever', 'I', 'tried', 'burner', 'falls', 'I', 'wired', 'different', 'ways', 'Js']"
1,I had been pretty disappointed in VTech phones Id purchased years ago Bought other brands with moderate satisfaction nothing is perfect Recently began experiencing troubles with a Panasonic set Id had for about years Read Amazon user reviews and was impressed with this phones reviews After using over a month im as fedup as can be with the poor sound quality and mediocre battery life Cant return it now without major reduction in my refund of purchase price If youre looking for a new cordless phone look elsewhere,0,"['I', 'pretty', 'disappointed', 'VTech', 'phones', 'Id', 'purchased', 'years', 'ago', 'Bought', 'brands', 'moderate', 'satisfaction', 'nothing', 'perfect', 'Recently', 'began', 'experiencing', 'troubles', 'Panasonic', 'set', 'Id', 'years', 'Read', 'Amazon', 'user', 'reviews', 'impressed', 'phones', 'reviews', 'After', 'using', 'month', 'im', 'fedup', 'poor', 'sound', 'quality', 'mediocre', 'battery', 'life', 'Cant', 'return', 'without', 'major', 'reduction', 'refund', 'purchase', 'price', 'If', 'youre', 'looking', 'new', 'cordless', 'phone', 'look', 'elsewhere']"
3,Like the previous reviewer I also had an issue with the volume fading during the conversation It would eventually come back if I walked closer to the base but it was quite frustrating I also had an issue with poor receptionstatic when I was on a different floor of the house than where the base was located The distance was well within the published range and I live in a standard woodframe house I have not experienced these problems with other cordless systems I called Uniden support but the wait times were over mins so I am just returning this product It really is a shame as I was looking forward to using this featurerich phone system for years to come,0,"['Like', 'previous', 'reviewer', 'I', 'also', 'issue', 'volume', 'fading', 'conversation', 'It', 'would', 'eventually', 'come', 'back', 'I', 'walked', 'closer', 'base', 'quite', 'frustrating', 'I', 'also', 'issue', 'poor', 'receptionstatic', 'I', 'different', 'floor', 'house', 'base', 'located', 'The', 'distance', 'well', 'within', 'published', 'range', 'I', 'live', 'standard', 'woodframe', 'house', 'I', 'experienced', 'problems', 'cordless', 'systems', 'I', 'called', 'Uniden', 'support', 'wait', 'times', 'mins', 'I', 'returning', 'product', 'It', 'really', 'shame', 'I', 'looking', 'forward', 'using', 'featurerich', 'phone', 'system', 'years', 'come']"
5,Works great Love the tax calculation feature,1,"['Works', 'great', 'Love', 'tax', 'calculation', 'feature']"
3,Title says it all it is very bright but small Used it in a class I taught and some people had trouble seeing it in a lighted room because of the size Brought it home and have great fun with the cats,0,"['Title', 'says', 'bright', 'small', 'Used', 'class', 'I', 'taught', 'people', 'trouble', 'seeing', 'lighted', 'room', 'size', 'Brought', 'home', 'great', 'fun', 'cats']"
5,If you like the Jetstream ink but want a lighter pen that is easy to identify this is the one for you Basically the same black ink as the fancier model just in a lighter and slightly thinner package Note that this is BLACK ink not colors the color on the barrel is only there for fun Also note this is NOT the standard Jetstream Sport with a black barrel and white clip So Jetstream ink no cap to lose cheaper lighter fun colors I just wish they came in a pack like the plain body Jetstream Sport,1,"['If', 'like', 'Jetstream', 'ink', 'want', 'lighter', 'pen', 'easy', 'identify', 'one', 'Basically', 'black', 'ink', 'fancier', 'model', 'lighter', 'slightly', 'thinner', 'package', 'Note', 'BLACK', 'ink', 'colors', 'color', 'barrel', 'fun', 'Also', 'note', 'NOT', 'standard', 'Jetstream', 'Sport', 'black', 'barrel', 'white', 'clip', 'So', 'Jetstream', 'ink', 'cap', 'lose', 'cheaper', 'lighter', 'fun', 'colors', 'I', 'wish', 'came', 'pack', 'like', 'plain', 'body', 'Jetstream', 'Sport']"
1,I followed all of the instructions installed the software and connected the device When I tried to capture an image it said Scanner is not connected I went on the Veho website and saw this problem in the FAQ section Their solution is to make sure you are using a USB port and preferably one that is on your computer not a hub I was already doing that Then it says sometimes it cant detect your scanner if you have other image capture devices plugged in other scanners printers so I unplugged all of my other USB devices and restarted my computer Still nothing I uninstalled the software and reinstalled it using the download on their website instead of the disc that came with my scanner and it still didnt work I tried installing on two other computers and it didnt work on those eitherIf you could use this scanner with the native image capture program on your computer I wouldnt care about this issue at all but it ONLY works with this software Either my scanner is defective or and I think this is more likely since somebody else already left a review saying it doesnt work with Macbook Air it just doesnt work with macs All three of my computer are macs imac desktops and one macbook air running Lion and one running Snow Leopard so I cant test it on a PC for comparison but Id definitely be wary of ordering this model if you only have a mac,0,"['I', 'followed', 'instructions', 'installed', 'software', 'connected', 'device', 'When', 'I', 'tried', 'capture', 'image', 'said', 'Scanner', 'connected', 'I', 'went', 'Veho', 'website', 'saw', 'problem', 'FAQ', 'section', 'Their', 'solution', 'make', 'sure', 'using', 'USB', 'port', 'preferably', 'one', 'computer', 'hub', 'I', 'already', 'Then', 'says', 'sometimes', 'cant', 'detect', 'scanner', 'image', 'capture', 'devices', 'plugged', 'scanners', 'printers', 'I', 'unplugged', 'USB', 'devices', 'restarted', 'computer', 'Still', 'nothing', 'I', 'uninstalled', 'software', 'reinstalled', 'using', 'download', 'website', 'instead', 'disc', 'came', 'scanner', 'still', 'didnt', 'work', 'I', 'tried', 'installing', 'two', 'computers', 'didnt', 'work', 'eitherIf', 'could', 'use', 'scanner', 'native', 'image', 'capture', 'program', 'computer', 'I', 'wouldnt', 'care', 'issue', 'ONLY', 'works', 'software', 'Either', 'scanner', 'defective', 'I', 'think', 'likely', 'since', 'somebody', 'else', 'already', 'left', 'review', 'saying', 'doesnt', 'work', 'Macbook', 'Air', 'doesnt', 'work', 'macs', 'All', 'three', 'computer', 'macs', 'imac', 'desktops', 'one', 'macbook', 'air', 'running', 'Lion', 'one', 'running', 'Snow', 'Leopard', 'I', 'cant', 'test', 'PC', 'comparison', 'Id', 'definitely', 'wary', 'ordering', 'model', 'mac']"
5,It was a beautiful pen and it was for a gift the person who received it LOVES IT Blue color and also the way the pen opens to write very unusual,1,"['It', 'beautiful', 'pen', 'gift', 'person', 'received', 'LOVES', 'IT', 'Blue', 'color', 'also', 'way', 'pen', 'opens', 'write', 'unusual']"
